"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",90125.595,60463.429,150307.326,0.897,0.315
"r",0.483,0.261,0.769,0.796,0.174
"q.1",0,0,0,0.638,0.33
"q.2",0.008,0.005,0.014,0.991,0.465
"q.3",0.017,0.009,0.029,0.975,0.3
"q.4",0,0,0,0.772,0.406
"q.5",0,0,0,0.834,0.284
"q.6",0,0,0,0.824,0.284
"q.7",0.014,0.008,0.024,0.569,0.504
"psi",0.882,0.589,1.094,0.354,0.367
"sigma2",0.003,0.001,0.009,0.271,0.73
"tau2.1",0.009,0.001,0.119,0.055,0.131
"tau2.2",0.011,0.001,0.118,0.253,0.073
"tau2.3",0.003,0,0.029,0.593,0.258
"tau2.4",0.006,0.001,0.051,0.896,0.457
"tau2.5",0.006,0.001,0.08,0.17,0.738
"tau2.6",0.009,0.001,0.142,0.35,0.164
"tau2.7",0.006,0.001,0.077,0.858,0.357
