"","Year","CPUE","logSE"
"1",1950,NA,0.2
"2",1951,NA,0.2
"3",1952,NA,0.2
"4",1953,NA,0.2
"5",1954,NA,0.2
"6",1955,NA,0.2
"7",1956,NA,0.2
"8",1957,NA,0.2
"9",1958,NA,0.2
"10",1959,NA,0.2
"11",1960,NA,0.2
"12",1961,NA,0.2
"13",1962,NA,0.2
"14",1963,NA,0.2
"15",1964,NA,0.2
"16",1965,NA,0.2
"17",1966,NA,0.2
"18",1967,NA,0.2
"19",1968,NA,0.2
"20",1969,NA,0.2
"21",1970,NA,0.2
"22",1971,NA,0.2
"23",1972,NA,0.2
"24",1973,NA,0.2
"25",1974,NA,0.2
"26",1975,NA,0.2
"27",1976,NA,0.2
"28",1977,NA,0.2
"29",1978,NA,0.2
"30",1979,NA,0.2
"31",1980,NA,0.2
"32",1981,NA,0.2
"33",1982,NA,0.2
"34",1983,NA,0.2
"35",1984,NA,0.2
"36",1985,NA,0.2
"37",1986,NA,0.2
"38",1987,NA,0.2
"39",1988,NA,0.2
"40",1989,515.93524140033,0.108760244750817
"41",1990,490.962211214757,0.0911894097049039
"42",1991,450.235409350458,0.0845894491349636
"43",1992,416.531665321712,0.0841416027013819
"44",1993,392.159018192557,0.0843895854618158
"45",1994,376.887121658232,0.084047955466999
"46",1995,357.436328318594,0.0839660802916793
"47",1996,334.581411345355,0.0849609814728615
"48",1997,310.311670873684,0.0862605018914643
"49",1998,285.573476087489,0.088875483849122
"50",1999,257.993869908854,0.0950940179385258
"51",2000,223.609632166009,0.110598473185783
"52",2001,201.648103776569,0.121713085015787
"53",2002,190.037925512499,0.12501347000783
"54",2003,181.301785534102,0.128618401236929
"55",2004,177.934647038242,0.129997335518891
"56",2005,173.374318423874,0.135024732103644
"57",2006,174.199756982753,0.137962574212264
"58",2007,176.692493850744,0.140990480441824
"59",2008,170.782758706123,0.145128740245385
"60",2009,169.416051083234,0.145807612722581
"61",2010,167.433979331588,0.146434466555995
"62",2011,162.690388554755,0.149289805770642
"63",2012,165.718939599194,0.149003232159088
"64",2013,168.799074512228,0.151189802964969
"65",2014,170.423426748741,0.154248396475857
"66",2015,168.42206656024,0.163117126063828
