Year,BRA_LL1,BRA_LL2,SPA_LL1,SPA_LL2,JPN_LL1,JPN_LL2,URU_LL,SA_LL,C_TAI1,C_TAI2,C_TAI3
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,,,,,,,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,0.15,,
1968,,,,,,,,,0.15,,
1969,,,,,,,,,0.15,,
1970,,,,,,,,,0.15,,
1971,,,,,,,,,0.15,,
1972,,,,,,,,,0.15,,
1973,,,,,,,,,0.15,,
1974,,,,,,,,,0.15,,
1975,,,,,,,,,0.15,,
1976,,,,,,,,,0.15,,
1977,,,,,,,,,0.15,,
1978,0.225394597,,,,,,,,0.15,,
1979,0.222367154,,,,,,,,0.15,,
1980,0.223108326,,,,,,,,0.15,,
1981,0.229415324,,,,,,,,0.15,,
1982,0.240156336,,,,,,,,0.15,,
1983,0.226824614,,,,,,,,0.15,,
1984,0.162530264,,,,,,,,0.15,,
1985,0.221620709,,,,,,,,0.15,,
1986,0.218339362,,,,,,,,0.15,,
1987,0.304216426,,,,,,,,0.15,,
1988,0.191163492,,,,,,,,0.15,,
1989,0.204208984,,0.00825181,,,,,,,0.15,
1990,0.265998048,,0.00602845,,0.013531748,,,,,0.15,
1991,0.227446821,,0.00559128,,0.01552795,,,,,0.15,
1992,0.275145505,,0.00513865,,0.017288542,,,,,0.15,
1993,0.300606362,,0.0044334,,0.016888973,,,,,0.15,
1994,0.262608562,,0.00447783,,0.015127345,,,,,0.15,
1995,0.369605411,,0.00432145,,0.016151712,,,,,0.15,
1996,0.260891798,,0.00420367,,0.016850777,,,,,0.15,
1997,0.204013904,,0.00372408,,0.020174563,,,,,0.15,
1998,0.188552053,,0.00412658,,0.021664717,,,,,0.15,
1999,0.189532106,,0.00424658,,0.022293562,,,,,0.15,
2000,0.191492871,,,0.00440818,0.023915816,,,,,,0.15
2001,0.202288302,,,0.00388432,0.028940147,,0.45,,,,0.15
2002,0.209011069,,,0.00403495,0.030561309,,0.76,,,,0.15
2003,0.287735954,,,0.00449014,0.023776501,,0.43,,,,0.15
2004,0.249193096,,,0.00573117,0.023149006,,0.42,0.08,,,0.15
2005,,0.095358946,,0.00536379,0.03332414,,0.43,0.078,,,0.15
2006,,0.117872148,,0.0052259,,0.026715667,0.34,0.075,,,0.15
2007,,0.144202796,,0.00538512,,0.03528789,0.39,0.072,,,0.15
2008,,0.113306133,,0.00487992,,0.030755036,0.44,0.078,,,0.15
2009,,0.105368881,,0.00458557,,0.029000039,0.41,0.073,,,0.15
2010,,0.115555039,,0.00482926,,0.029383481,0.45,0.076,,,0.15
2011,,0.124782256,,0.00471058,,0.028807006,0.43,0.079,,,0.15
2012,,0.109920746,,0.00512837,,0.036372931,0.47,0.088,,,0.15
2013,,,,0.00531472,,0.028751255,,0.075,,,
2014,,,,0.00543265,,0.048180306,,0.075,,,
2015,,,,0.00552068,,0.036479339,,0.072,,,
