"","Year","CPUE","logSE"
"1",1950,NA,0.2
"2",1951,NA,0.2
"3",1952,NA,0.2
"4",1953,NA,0.2
"5",1954,NA,0.2
"6",1955,NA,0.2
"7",1956,NA,0.2
"8",1957,NA,0.2
"9",1958,NA,0.2
"10",1959,NA,0.2
"11",1960,NA,0.2
"12",1961,NA,0.2
"13",1962,NA,0.2
"14",1963,NA,0.2
"15",1964,NA,0.2
"16",1965,NA,0.2
"17",1966,NA,0.2
"18",1967,NA,0.2
"19",1968,NA,0.2
"20",1969,NA,0.2
"21",1970,NA,0.2
"22",1971,NA,0.2
"23",1972,NA,0.2
"24",1973,NA,0.2
"25",1974,NA,0.2
"26",1975,NA,0.2
"27",1976,NA,0.2
"28",1977,NA,0.2
"29",1978,NA,0.2
"30",1979,NA,0.2
"31",1980,NA,0.2
"32",1981,NA,0.2
"33",1982,NA,0.2
"34",1983,NA,0.2
"35",1984,NA,0.2
"36",1985,NA,0.2
"37",1986,NA,0.2
"38",1987,NA,0.2
"39",1988,NA,0.2
"40",1989,515.935241400337,0.108760244750818
"41",1990,490.962211214773,0.0911894097049047
"42",1991,450.235409350458,0.084589449134964
"43",1992,416.53166532171,0.0841416027013825
"44",1993,392.159018192546,0.0843895854618167
"45",1994,376.887121658244,0.0840479554669999
"46",1995,357.436328318595,0.0839660802916803
"47",1996,334.581411345356,0.0849609814728621
"48",1997,310.311670873699,0.0862605018914655
"49",1998,285.573476087489,0.088875483849123
"50",1999,257.993869908851,0.0950940179385264
"51",2000,223.609632166021,0.110598473185783
"52",2001,201.648103776563,0.121713085015787
"53",2002,190.037925512503,0.125013470007831
"54",2003,181.301785534103,0.12861840123693
"55",2004,177.934647038243,0.129997335518895
"56",2005,173.374318423869,0.135024732103649
"57",2006,174.199756982745,0.137962574212268
"58",2007,176.692493850738,0.140990480441827
"59",2008,170.782758706123,0.145128740245388
"60",2009,169.416051083231,0.145807612722584
"61",2010,167.433979331581,0.146434466555998
"62",2011,162.690388554753,0.149289805770644
"63",2012,165.718939599184,0.14900323215909
"64",2013,168.799074512229,0.15118980296497
"65",2014,170.423426748732,0.154248396475857
"66",2015,168.422066560245,0.163117126063828
