"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",111468.825,78494.459,163251.777,0.749,0.838
"r",0.372,0.239,0.558,0.847,0.903
"q.1",0,0,0,0.769,0.43
"q.2",0.006,0.004,0.01,0.799,0.801
"q.3",0.013,0.008,0.022,0.837,0.588
"q.4",0,0,0,0.491,0.843
"q.5",0,0,0,0.707,0.299
"q.6",0,0,0,0.45,0.81
"q.7",0.01,0.006,0.017,0.631,0.622
"psi",0.871,0.618,1.052,0.707,0.001
"sigma2",0.003,0.001,0.009,0.247,0.16
"tau2.1",0.009,0.001,0.123,0.907,0.559
"tau2.2",0.009,0.001,0.099,0.208,0.568
"tau2.3",0.003,0,0.024,0.646,0.053
"tau2.4",0.007,0.001,0.061,0.657,0.594
"tau2.5",0.004,0.001,0.044,0.271,0.173
"tau2.6",0.009,0.001,0.14,0.719,0.967
"tau2.7",0.004,0.001,0.043,0.957,0.938
