Year,BRA_LL1,BRA_LL2,SPA_LL1,SPA_LL2,JPN_LL1,JPN_LL2,URU_LL,SA_LL
1950,,,,,,,,
1951,,,,,,,,
1952,,,,,,,,
1953,,,,,,,,
1954,,,,,,,,
1955,,,,,,,,
1956,,,,,,,,
1957,,,,,,,,
1958,,,,,,,,
1959,,,,,,,,
1960,,,,,,,,
1961,,,,,,,,
1962,,,,,,,,
1963,,,,,,,,
1964,,,,,,,,
1965,,,,,,,,
1966,,,,,,,,
1967,,,,,,,,
1968,,,,,,,,
1969,,,,,,,,
1970,,,,,,,,
1971,,,,,,,,
1972,,,,,,,,
1973,,,,,,,,
1974,,,,,,,,
1975,,,,,,,,
1976,,,,,,,,
1977,,,,,,,,
1978,2.949364445,,,,,,,
1979,2.426849106,,,,,,,
1980,4.044974963,,,,,,,
1981,5.721704442,,,,,,,
1982,6.230856636,,,,,,,
1983,3.62041129,,,,,,,
1984,2.336120568,,,,,,,
1985,2.970273593,,,,,,,
1986,3.701173711,,,,,,,
1987,6.428470374,,,,,,,
1988,3.191974036,,,,,,,
1989,1.905607627,,535.91,,,,,
1990,4.168295029,,403.909,,2.677,,,
1991,3.857027022,,390.467,,1.61,,,
1992,3.806751562,,354.761,,1.328,,,
1993,1.678209771,,307.831,,1.299,,,
1994,3.103126773,,352.405,,1.484,,,
1995,5.280597602,,402.194,,1.074,,,
1996,6.34462168,,362.581,,1.09,,,
1997,4.154356404,,340.035,,0.961,,,
1998,2.668840039,,331.422,,0.942,,,
1999,3.596493144,,356.245,,0.801,,,
2000,4.984042501,,,430.224,0.576,,,
2001,2.19066125,,,380.538,0.476,,6.47,
2002,4.070346992,,,364.041,0.601,,4.13,
2003,7.262088978,,,319.566,0.515,,6.17,
2004,6.96524459,,,314.02,0.551,,5.22,401.027
2005,,0.860480716,,378.894,0.444,,5.21,381.001
2006,,1.296164233,,382.613,,0.783,5.5,304.355
2007,,1.903001476,,369.436,,1.041,4.96,328.674
2008,,1.210818849,,356.277,,0.929,3.23,268.186
2009,,1.260714087,,389.449,,1.038,3.51,254.112
2010,,1.400106222,,379.479,,0.955,3.29,284.752
2011,,1.146756312,,367.48,,0.797,2,226.249
2012,,1.136501536,,392.346,,1.038,5.08,212.388
2013,,,,393.116,,0.976,,289.201
2014,,,,412.817,,1.006,,273.622
2015,,,,447.395,,1.007,,304.24
